idx,created_date,updated_date,age_range,expired,gender,hashcode,member_email,nickname,profileImg,role,sns_type
1,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,20~29,N,male,N36WH,kwonjiwoo8689@naver.com,권지우,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
2,2023-03-01 12:43:12.000000,2023-03-01 12:43:12.000000,20~29,N,male,5P868,jusang6794@gmail.com,홍주상,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
3,2023-03-01 13:26:24.000000,2023-03-01 13:26:24.000000,20~29,N,female,9MRTC,ohe9819@naver.com,오하은,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
4,2023-03-01 14:09:36.000000,2023-03-01 14:09:36.000000,20~29,N,male,MSNT1,kwonhahwan4662@gmail.com,권하환,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
5,2023-03-01 14:52:48.000000,2023-03-01 14:52:48.000000,50~59,N,female,VZ6XF,dongji9704@naver.com,임동지,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
6,2023-03-01 15:36:00.000000,2023-03-01 15:36:00.000000,30~39,N,female,9AFJP,chj6902@gmail.com,최현지,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
7,2023-03-01 16:19:12.000000,2023-03-01 16:19:12.000000,30~39,N,female,08O0I,seoyeon8269@gmail.com,박서연,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
8,2023-03-01 17:02:24.000000,2023-03-01 17:02:24.000000,20~29,N,male,CZPUR,jangchaechan4752@gmail.com,장채찬,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
9,2023-03-01 17:45:36.000000,2023-03-01 17:45:36.000000,30~39,N,female,5AYFH,seohasuk1782@naver.com,서하숙,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
10,2023-03-01 18:28:48.000000,2023-03-01 18:28:48.000000,30~39,N,male,REEST,cjo3570@gmail.com,최종온,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
11,2023-03-01 19:12:00.000000,2023-03-01 19:12:00.000000,20~29,N,male,EMSU8,shinjuhyeon8203@naver.com,신주현,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
12,2023-03-01 19:55:12.000000,2023-03-01 19:55:12.000000,20~29,N,female,Q585C,hongjiju9231@naver.com,홍지주,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
13,2023-03-01 20:38:24.000000,2023-03-01 20:38:24.000000,30~39,N,female,76OBA,hsa3622@naver.com,한상아,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
14,2023-03-01 21:21:36.000000,2023-03-01 21:21:36.000000,20~29,N,male,35Y3Q,kwonjonghyeon5019@naver.com,권종현,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
15,2023-03-01 22:04:48.000000,2023-03-01 22:04:48.000000,30~39,N,female,U8BOT,kangjisuk1662@kakao.com,강지숙,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
16,2023-03-01 22:48:00.000000,2023-03-01 22:48:00.000000,40~49,N,male,ROC81,ihh5411@kakao.com,임현호,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
