idx,created_date,updated_date,age_range,expired,gender,hashcode,member_email,nickname,profileImg,role,sns_type
1,2023-03-01 12:00:00.000000,,20~29,N,female,L37JG,syy1723@gmail.com,서윤윤,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
2,2023-03-01 12:43:12.000000,,50~59,N,male,JEVCW,jjh8652@naver.com,정지환,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
3,2023-03-01 13:26:24.000000,,30~39,N,female,OAHK4,jongsuk7314@hanmail.net,안종숙,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
4,2023-03-01 14:09:36.000000,,20~29,N,male,9BXRE,jjw4449@gmail.com,전지우,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
5,2023-03-01 14:52:48.000000,,20~29,N,male,WDNQG,songdonghu5810@gmail.com,송동후,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
6,2023-03-01 15:36:00.000000,,20~29,N,female,CJKTC,hawon8195@naver.com,홍하원,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
7,2023-03-01 16:19:12.000000,,20~29,N,male,M1G45,donghwan1749@naver.com,안동환,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
8,2023-03-01 17:02:24.000000,,20~29,N,male,N8WLM,chaesang4018@naver.com,전채상,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
9,2023-03-01 17:45:36.000000,,20~29,N,female,EQA5U,jaewon7489@gmail.com,조재원,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
10,2023-03-01 18:28:48.000000,,40~49,N,female,I2JKU,yiwon5200@gmail.com,안예원,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
11,2023-03-01 19:12:00.000000,,30~39,N,female,OEZ8X,jiyoung5215@naver.com,신지영,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
12,2023-03-01 19:55:12.000000,,20~29,N,male,YC6V6,seohaon8240@naver.com,서하온,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
13,2023-03-01 20:38:24.000000,,30~39,N,female,OUJWO,ids2266@hanmail.net,임동숙,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
14,2023-03-01 21:21:36.000000,,20~29,N,male,KHKM3,shindoon9235@gmail.com,신도온,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
15,2023-03-01 22:04:48.000000,,40~49,N,female,2CZO5,yke2899@naver.com,윤강은,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
16,2023-03-01 22:48:00.000000,,30~39,N,female,8HVZG,yhy6171@naver.com,윤하연,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
17,2023-03-01 23:31:12.000000,,40~49,N,male,9LL7O,dongon5814@gmail.com,신동온,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
18,2023-03-02 00:14:24.000000,,20~29,N,female,S3QX1,shindoeun4730@gmail.com,신도은,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
19,2023-03-02 00:57:36.000000,,30~39,N,female,C77T1,parkhyeoneun6066@gmail.com,박현은,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
20,2023-03-02 01:40:48.000000,,20~29,N,female,OI7AQ,khy7816@naver.com,김현연,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
21,2023-03-02 02:24:00.000000,,20~29,N,female,CB99F,hayeon4223@gmail.com,정하연,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
22,2023-03-02 03:07:12.000000,,40~49,N,male,2MECJ,hjj8541@naver.com,한주진,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
23,2023-03-02 03:50:24.000000,,40~49,N,male,UYPOK,jonghwan5443@gmail.com,정종환,http://k.kakaocdn.net/dn/dpk9l1/btqmGhA2lKL/Oz0wDuJn1YV2DIn92f6DVK/img_640x640.jpg,ROLE_MEMBER,KAKAO
